id,horario_id,persona_id,fecha,created_at,updated_at
2175400,50010,50065,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
2175401,50010,1729032,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
2175402,50010,50737,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
2175403,50010,1784584,2013-01-25,2013-01-26 00:43:02 UTC,2013-01-26 00:43:02 UTC
2175404,50010,1841138,2013-01-25,2013-01-26 00:43:02 UTC,2013-01-26 00:43:02 UTC
2176130,50010,1840723,2013-01-28,2013-01-28 23:21:53 UTC,2013-01-28 23:21:53 UTC
2176131,50010,1873569,2013-01-28,2013-01-28 23:21:53 UTC,2013-01-28 23:21:53 UTC
2176132,50010,1867864,2013-01-28,2013-01-28 23:21:53 UTC,2013-01-28 23:21:53 UTC
2176133,50010,50826,2013-01-28,2013-01-28 23:21:53 UTC,2013-01-28 23:21:53 UTC
2176134,50010,1842048,2013-01-28,2013-01-28 23:21:53 UTC,2013-01-28 23:21:53 UTC
2176819,50010,1840723,2013-01-30,2013-01-30 03:17:57 UTC,2013-01-30 03:17:57 UTC
2176820,50010,50065,2013-01-30,2013-01-30 03:17:57 UTC,2013-01-30 03:17:57 UTC
2176821,50010,1729032,2013-01-30,2013-01-30 03:17:57 UTC,2013-01-30 03:17:57 UTC
2176822,50010,50673,2013-01-30,2013-01-30 03:17:57 UTC,2013-01-30 03:17:57 UTC
2176823,50010,50950,2013-01-30,2013-01-30 03:17:57 UTC,2013-01-30 03:17:57 UTC
2179373,50010,1841184,2013-02-01,2013-02-02 16:03:43 UTC,2013-02-02 16:03:43 UTC
2179374,50010,1794962,2013-02-01,2013-02-02 16:03:43 UTC,2013-02-02 16:03:43 UTC
2179375,50010,1841138,2013-02-01,2013-02-02 16:03:43 UTC,2013-02-02 16:03:43 UTC
2180360,50010,1732971,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2180361,50010,1873569,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2180362,50010,1729032,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2180363,50010,1784584,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2180364,50010,50950,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2180365,50010,1842048,2013-02-04,2013-02-04 23:27:50 UTC,2013-02-04 23:27:50 UTC
2183101,50010,1794962,2013-02-08,2013-02-09 00:51:54 UTC,2013-02-09 00:51:54 UTC
2183102,50010,1841184,2013-02-08,2013-02-09 00:51:54 UTC,2013-02-09 00:51:54 UTC
2183103,50010,1841138,2013-02-08,2013-02-09 00:51:54 UTC,2013-02-09 00:51:54 UTC
2183104,50010,50051,2013-02-08,2013-02-09 00:51:54 UTC,2013-02-09 00:51:54 UTC
2185152,50010,1841184,2013-02-15,2013-02-16 17:42:55 UTC,2013-02-16 17:42:55 UTC
2185153,50010,1794962,2013-02-15,2013-02-16 17:42:55 UTC,2013-02-16 17:42:55 UTC
2185154,50010,1841138,2013-02-15,2013-02-16 17:42:55 UTC,2013-02-16 17:42:55 UTC
2185649,50010,1841184,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185650,50010,1731670,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185651,50010,50057,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185652,50010,1758285,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185653,50010,50950,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185654,50010,1842048,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2185655,50010,1841138,2013-02-18,2013-02-18 23:34:10 UTC,2013-02-18 23:34:10 UTC
2186403,50010,1794962,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2186404,50010,50064,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2186405,50010,1729032,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2186406,50010,50673,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2186407,50010,50202,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2186408,50010,50051,2013-02-19,2013-02-19 23:56:23 UTC,2013-02-19 23:56:23 UTC
2187131,50010,1841184,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187132,50010,50668,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187133,50010,1840723,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187134,50010,1679914,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187135,50010,1694107,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187136,50010,50826,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187137,50010,1758285,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187138,50010,50202,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187139,50010,1841138,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2187140,50010,50128,2013-02-20,2013-02-20 23:29:16 UTC,2013-02-20 23:29:16 UTC
2189727,50010,1841184,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189728,50010,1840723,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189729,50010,1732971,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189730,50010,1873569,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189731,50010,1784584,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189732,50010,50057,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189733,50010,50826,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189734,50010,50950,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2189735,50010,1841138,2013-02-25,2013-02-26 16:02:20 UTC,2013-02-26 16:02:20 UTC
2190007,50010,1794962,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2190008,50010,1732971,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2190009,50010,1729032,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2190010,50010,1758285,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2190011,50010,50202,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2190012,50010,50950,2013-02-26,2013-02-26 23:17:18 UTC,2013-02-26 23:17:18 UTC
2191696,50010,1732971,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191697,50010,1731670,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191698,50010,1873569,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191699,50010,1729032,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191700,50010,1694107,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191701,50010,1875698,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191702,50010,50950,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2191703,50010,1734910,2013-02-28,2013-03-01 16:45:38 UTC,2013-03-01 16:45:38 UTC
2193034,50010,1732971,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193035,50010,1731670,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193036,50010,50089,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193037,50010,50950,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193038,50010,1842048,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193039,50010,50073,2013-03-04,2013-03-05 00:03:26 UTC,2013-03-05 00:03:26 UTC
2193894,50010,1794962,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193895,50010,1841184,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193896,50010,1732971,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193897,50010,1729032,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193898,50010,50737,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193899,50010,50673,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193900,50010,50202,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193901,50010,50950,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2193902,50010,1841138,2013-03-05,2013-03-06 00:37:07 UTC,2013-03-06 00:37:07 UTC
2195493,50010,1841184,2013-03-07,2013-03-08 16:24:55 UTC,2013-03-08 16:24:55 UTC
2195494,50010,1732971,2013-03-07,2013-03-08 16:24:55 UTC,2013-03-08 16:24:55 UTC
2195495,50010,1694107,2013-03-07,2013-03-08 16:24:55 UTC,2013-03-08 16:24:55 UTC
2195496,50010,1841138,2013-03-07,2013-03-08 16:24:55 UTC,2013-03-08 16:24:55 UTC
2196487,50010,1841184,2013-03-11,2013-03-11 23:37:51 UTC,2013-03-11 23:37:51 UTC
2196488,50010,1732971,2013-03-11,2013-03-11 23:37:51 UTC,2013-03-11 23:37:51 UTC
2196489,50010,1873569,2013-03-11,2013-03-11 23:37:51 UTC,2013-03-11 23:37:51 UTC
2196490,50010,1842048,2013-03-11,2013-03-11 23:37:51 UTC,2013-03-11 23:37:51 UTC
2196491,50010,1841138,2013-03-11,2013-03-11 23:37:51 UTC,2013-03-11 23:37:51 UTC
